Date,date,CDID,Value,series
2007-07-15,2007 DEC,WUNC,-.2,RecreationCulture
2007-08-15,2007 DEC,WUND,.24,Education
2007-09-15,2007 DEC,WUNE,.47,RestaurantsHotels
2007-10-15,2007 DEC,WUNG,.19,Misc
2007-11-15,2007 FEB,WUMA,.45,Food
2007-12-15,2007 FEB,WUMB,.18,AlcoholTobacco
2007-01-15,2007 FEB,WUMC,-.27,ClothingFootwear
2007-02-15,2007 FEB,WUMD,1.2,HousingHouseService
2007-03-15,2007 FEB,WUMP,.11,FurnitureHousehold
2007-04-15,2007 FEB,WUMQ,.09,Health
2007-05-15,2007 FEB,WUMW,.21,Transport
2007-06-15,2007 FEB,WUMX,-.07,Communication
2007-07-15,2007 FEB,WUNC,-.16,RecreationCulture
2007-08-15,2007 FEB,WUND,.24,Education
2007-09-15,2007 FEB,WUNE,.44,RestaurantsHotels
2007-10-15,2007 FEB,WUNG,.38,Misc
2007-11-15,2007 JAN,WUMA,.4,Food
2007-12-15,2007 JAN,WUMB,.15,AlcoholTobacco
2007-01-15,2007 JAN,WUMC,-.27,ClothingFootwear
2007-02-15,2007 JAN,WUMD,1.21,HousingHouseService
2007-03-15,2007 JAN,WUMP,.07,FurnitureHousehold
2007-04-15,2007 JAN,WUMQ,.09,Health
2007-05-15,2007 JAN,WUMW,.14,Transport
2007-06-15,2007 JAN,WUMX,-.05,Communication
2007-07-15,2007 JAN,WUNC,-.06,RecreationCulture
2007-08-15,2007 JAN,WUND,.24,Education
2007-09-15,2007 JAN,WUNE,.45,RestaurantsHotels
2007-10-15,2007 JAN,WUNG,.33,Misc
2007-11-15,2007 JUL,WUMA,.29,Food
2007-12-15,2007 JUL,WUMB,.15,AlcoholTobacco
2007-01-15,2007 JUL,WUMC,-.16,ClothingFootwear
2007-02-15,2007 JUL,WUMD,.4,HousingHouseService
2007-03-15,2007 JUL,WUMP,.15,FurnitureHousehold
2007-04-15,2007 JUL,WUMQ,.08,Health
2007-05-15,2007 JUL,WUMW,.38,Transport
2007-06-15,2007 JUL,WUMX,-.12,Communication
2007-07-15,2007 JUL,WUNC,-.23,RecreationCulture
2007-08-15,2007 JUL,WUND,.23,Education
2007-09-15,2007 JUL,WUNE,.49,RestaurantsHotels
2007-10-15,2007 JUL,WUNG,.2,Misc
2007-11-15,2007 JUN,WUMA,.49,Food
2007-12-15,2007 JUN,WUMB,.15,AlcoholTobacco
2007-01-15,2007 JUN,WUMC,-.2,ClothingFootwear
2007-02-15,2007 JUN,WUMD,.49,HousingHouseService
2007-03-15,2007 JUN,WUMP,.29,FurnitureHousehold
2007-04-15,2007 JUN,WUMQ,.08,Health
2007-05-15,2007 JUN,WUMW,.5,Transport
2007-06-15,2007 JUN,WUMX,-.09,Communication
2007-07-15,2007 JUN,WUNC,-.18,RecreationCulture
2007-08-15,2007 JUN,WUND,.23,Education
2007-09-15,2007 JUN,WUNE,.5,RestaurantsHotels
2007-10-15,2007 JUN,WUNG,.18,Misc
2007-11-15,2007 MAR,WUMA,.57,Food
2007-12-15,2007 MAR,WUMB,.19,AlcoholTobacco
2007-01-15,2007 MAR,WUMC,-.25,ClothingFootwear
2007-02-15,2007 MAR,WUMD,1.09,HousingHouseService
2007-03-15,2007 MAR,WUMP,.21,FurnitureHousehold
2007-04-15,2007 MAR,WUMQ,.09,Health
2007-05-15,2007 MAR,WUMW,.25,Transport
2007-06-15,2007 MAR,WUMX,-.07,Communication
2007-07-15,2007 MAR,WUNC,-.11,RecreationCulture
2007-08-15,2007 MAR,WUND,.24,Education
2007-09-15,2007 MAR,WUNE,.46,RestaurantsHotels
2007-10-15,2007 MAR,WUNG,.39,Misc
2007-11-15,2007 MAY,WUMA,.51,Food
2007-12-15,2007 MAY,WUMB,.18,AlcoholTobacco
2007-01-15,2007 MAY,WUMC,-.22,ClothingFootwear
2007-02-15,2007 MAY,WUMD,.64,HousingHouseService
2007-03-15,2007 MAY,WUMP,.2,FurnitureHousehold
2007-04-15,2007 MAY,WUMQ,.08,Health
2007-05-15,2007 MAY,WUMW,.4,Transport
2007-06-15,2007 MAY,WUMX,-.08,Communication
2007-07-15,2007 MAY,WUNC,-.13,RecreationCulture
2007-08-15,2007 MAY,WUND,.23,Education
2007-09-15,2007 MAY,WUNE,.48,RestaurantsHotels
2007-10-15,2007 MAY,WUNG,.23,Misc
2007-11-15,2007 NOV,WUMA,.49,Food
2007-12-15,2007 NOV,WUMB,.12,AlcoholTobacco
2007-01-15,2007 NOV,WUMC,-.28,ClothingFootwear
2007-02-15,2007 NOV,WUMD,.09,HousingHouseService
2007-03-15,2007 NOV,WUMP,.14,FurnitureHousehold
2007-04-15,2007 NOV,WUMQ,.07,Health
2007-05-15,2007 NOV,WUMW,.87,Transport
2007-06-15,2007 NOV,WUMX,-.1,Communication
2007-07-15,2007 NOV,WUNC,-.18,RecreationCulture
2007-08-15,2007 NOV,WUND,.24,Education
2007-09-15,2007 NOV,WUNE,.46,RestaurantsHotels
2007-10-15,2007 NOV,WUNG,.16,Misc
2007-11-15,2007 OCT,WUMA,.49,Food
2007-12-15,2007 OCT,WUMB,.12,AlcoholTobacco
2007-01-15,2007 OCT,WUMC,-.27,ClothingFootwear
2007-02-15,2007 OCT,WUMD,.16,HousingHouseService
2007-03-15,2007 OCT,WUMP,.15,FurnitureHousehold
2007-04-15,2007 OCT,WUMQ,.08,Health
2007-05-15,2007 OCT,WUMW,.77,Transport
2007-06-15,2007 OCT,WUMX,-.1,Communication
2007-07-15,2007 OCT,WUNC,-.15,RecreationCulture
2007-08-15,2007 OCT,WUND,.24,Education
2007-09-15,2007 OCT,WUNE,.48,RestaurantsHotels
2007-10-15,2007 OCT,WUNG,.13,Misc
2007-11-15,2007 SEP,WUMA,.38,Food
2007-12-15,2007 SEP,WUMB,.14,AlcoholTobacco
2007-01-15,2007 SEP,WUMC,-.25,ClothingFootwear
2007-02-15,2007 SEP,WUMD,.26,HousingHouseService
2007-03-15,2007 SEP,WUMP,.13,FurnitureHousehold
2007-04-15,2007 SEP,WUMQ,.08,Health
2007-05-15,2007 SEP,WUMW,.42,Transport
2007-06-15,2007 SEP,WUMX,-.07,Communication
2007-07-15,2007 SEP,WUNC,-.16,RecreationCulture
2007-08-15,2007 SEP,WUND,.24,Education
2007-09-15,2007 SEP,WUNE,.5,RestaurantsHotels
2007-10-15,2007 SEP,WUNG,.1,Misc
2008-11-15,2008 APR,WUMA,.68,Food
2008-12-15,2008 APR,WUMB,.18,AlcoholTobacco
2008-01-15,2008 APR,WUMC,-.41,ClothingFootwear
2008-02-15,2008 APR,WUMD,.63,HousingHouseService
2008-03-15,2008 APR,WUMP,.11,FurnitureHousehold
2008-04-15,2008 APR,WUMQ,.08,Health
2008-05-15,2008 APR,WUMW,.93,Transport
2008-06-15,2008 APR,WUMX,-.07,Communication
2008-07-15,2008 APR,WUNC,-.16,RecreationCulture
2008-08-15,2008 APR,WUND,.23,Education
2008-09-15,2008 APR,WUNE,.53,RestaurantsHotels
2008-10-15,2008 APR,WUNG,.23,Misc
2008-11-15,2008 AUG,WUMA,1.36,Food
2008-12-15,2008 AUG,WUMB,.19,AlcoholTobacco
2008-01-15,2008 AUG,WUMC,-.44,ClothingFootwear
2008-02-15,2008 AUG,WUMD,1.16,HousingHouseService
2008-03-15,2008 AUG,WUMP,.23,FurnitureHousehold
2008-04-15,2008 AUG,WUMQ,.07,Health
2008-05-15,2008 AUG,WUMW,1.12,Transport
2008-06-15,2008 AUG,WUMX,-.07,Communication
2008-07-15,2008 AUG,WUNC,-.03,RecreationCulture
2008-08-15,2008 AUG,WUND,.23,Education
2008-09-15,2008 AUG,WUNE,.5600000000000001,RestaurantsHotels
2008-10-15,2008 AUG,WUNG,.34,Misc
2008-11-15,2008 DEC,WUMA,1.13,Food
2008-12-15,2008 DEC,WUMB,.18,AlcoholTobacco
2008-01-15,2008 DEC,WUMC,-.67,ClothingFootwear
2008-02-15,2008 DEC,WUMD,1.63,HousingHouseService
2008-03-15,2008 DEC,WUMP,.06,FurnitureHousehold
2008-04-15,2008 DEC,WUMQ,.05,Health
2008-05-15,2008 DEC,WUMW,.02,Transport
2008-06-15,2008 DEC,WUMX,-.08,Communication
2008-07-15,2008 DEC,WUNC,-.19,RecreationCulture
2008-08-15,2008 DEC,WUND,.16,Education
2008-09-15,2008 DEC,WUNE,.49,RestaurantsHotels
2008-10-15,2008 DEC,WUNG,.26,Misc
2008-11-15,2008 FEB,WUMA,.58,Food
2008-12-15,2008 FEB,WUMB,.12,AlcoholTobacco
2008-01-15,2008 FEB,WUMC,-.3,ClothingFootwear
2008-02-15,2008 FEB,WUMD,.41,HousingHouseService
2008-03-15,2008 FEB,WUMP,.13,FurnitureHousehold
2008-04-15,2008 FEB,WUMQ,.07,Health
2008-05-15,2008 FEB,WUMW,.9399999999999999,Transport
2008-06-15,2008 FEB,WUMX,-.09,Communication
2008-07-15,2008 FEB,WUNC,-.18,RecreationCulture
2008-08-15,2008 FEB,WUND,.24,Education
2008-09-15,2008 FEB,WUNE,.45,RestaurantsHotels
2008-10-15,2008 FEB,WUNG,.12,Misc
2008-11-15,2008 JAN,WUMA,.63,Food
2008-12-15,2008 JAN,WUMB,.1,AlcoholTobacco
2008-01-15,2008 JAN,WUMC,-.32,ClothingFootwear
2008-02-15,2008 JAN,WUMD,.05,HousingHouseService
2008-03-15,2008 JAN,WUMP,.13,FurnitureHousehold
2008-04-15,2008 JAN,WUMQ,.08,Health
2008-05-15,2008 JAN,WUMW,.97,Transport
2008-06-15,2008 JAN,WUMX,-.08,Communication
2008-07-15,2008 JAN,WUNC,-.21,RecreationCulture
2008-08-15,2008 JAN,WUND,.24,Education
2008-09-15,2008 JAN,WUNE,.45,RestaurantsHotels
2008-10-15,2008 JAN,WUNG,.16,Misc
2008-11-15,2008 JUL,WUMA,1.28,Food
2008-12-15,2008 JUL,WUMB,.18,AlcoholTobacco
2008-01-15,2008 JUL,WUMC,-.44,ClothingFootwear
2008-02-15,2008 JUL,WUMD,.87,HousingHouseService
2008-03-15,2008 JUL,WUMP,.21,FurnitureHousehold
2008-04-15,2008 JUL,WUMQ,.08,Health
2008-05-15,2008 JUL,WUMW,1.22,Transport
2008-06-15,2008 JUL,WUMX,-.02,Communication
2008-07-15,2008 JUL,WUNC,-.02,RecreationCulture
2008-08-15,2008 JUL,WUND,.23,Education
2008-09-15,2008 JUL,WUNE,.57,RestaurantsHotels
2008-10-15,2008 JUL,WUNG,.28,Misc
2008-11-15,2008 JUN,WUMA,1,Food
2008-12-15,2008 JUN,WUMB,.19,AlcoholTobacco
2008-01-15,2008 JUN,WUMC,-.48,ClothingFootwear
2008-02-15,2008 JUN,WUMD,.8,HousingHouseService
2008-03-15,2008 JUN,WUMP,.14,FurnitureHousehold
2008-04-15,2008 JUN,WUMQ,.07,Health
2008-05-15,2008 JUN,WUMW,1.1,Transport
2008-06-15,2008 JUN,WUMX,-.03,Communication
2008-07-15,2008 JUN,WUNC,0,RecreationCulture
2008-08-15,2008 JUN,WUND,.23,Education
2008-09-15,2008 JUN,WUNE,.53,RestaurantsHotels
2008-10-15,2008 JUN,WUNG,.27,Misc
2008-11-15,2008 MAR,WUMA,.57,Food
2008-12-15,2008 MAR,WUMB,.11,AlcoholTobacco
2008-01-15,2008 MAR,WUMC,-.34,ClothingFootwear
2008-02-15,2008 MAR,WUMD,.46,HousingHouseService
2008-03-15,2008 MAR,WUMP,.05,FurnitureHousehold
2008-04-15,2008 MAR,WUMQ,.08,Health
2008-05-15,2008 MAR,WUMW,1.06,Transport
2008-06-15,2008 MAR,WUMX,-.1,Communication
2008-07-15,2008 MAR,WUNC,-.23,RecreationCulture
2008-08-15,2008 MAR,WUND,.24,Education
2008-09-15,2008 MAR,WUNE,.45,RestaurantsHotels
2008-10-15,2008 MAR,WUNG,.12,Misc
2008-11-15,2008 MAY,WUMA,.82,Food
2008-12-15,2008 MAY,WUMB,.21,AlcoholTobacco
2008-01-15,2008 MAY,WUMC,-.41,ClothingFootwear
2008-02-15,2008 MAY,WUMD,.73,HousingHouseService
2008-03-15,2008 MAY,WUMP,.13,FurnitureHousehold
2008-04-15,2008 MAY,WUMQ,.07,Health
2008-05-15,2008 MAY,WUMW,.9399999999999999,Transport
2008-06-15,2008 MAY,WUMX,-.06,Communication
2008-07-15,2008 MAY,WUNC,-.12,RecreationCulture
2008-08-15,2008 MAY,WUND,.23,Education
2008-09-15,2008 MAY,WUNE,.54,RestaurantsHotels
2008-10-15,2008 MAY,WUNG,.26,Misc
2008-11-15,2008 NOV,WUMA,1.15,Food
2008-12-15,2008 NOV,WUMB,.17,AlcoholTobacco
2008-01-15,2008 NOV,WUMC,-.46,ClothingFootwear
2008-02-15,2008 NOV,WUMD,1.69,HousingHouseService
2008-03-15,2008 NOV,WUMP,.22,FurnitureHousehold
2008-04-15,2008 NOV,WUMQ,.08,Health
2008-05-15,2008 NOV,WUMW,.21,Transport
2008-06-15,2008 NOV,WUMX,-.04,Communication
2008-07-15,2008 NOV,WUNC,0,RecreationCulture
2008-08-15,2008 NOV,WUND,.16,Education
2008-09-15,2008 NOV,WUNE,.57,RestaurantsHotels
2008-10-15,2008 NOV,WUNG,.33,Misc
2008-11-15,2008 OCT,WUMA,1.08,Food
2008-12-15,2008 OCT,WUMB,.18,AlcoholTobacco
2008-01-15,2008 OCT,WUMC,-.43,ClothingFootwear
2008-02-15,2008 OCT,WUMD,1.73,HousingHouseService
2008-03-15,2008 OCT,WUMP,.22,FurnitureHousehold
2008-04-15,2008 OCT,WUMQ,.06,Health
2008-05-15,2008 OCT,WUMW,.66,Transport
2008-06-15,2008 OCT,WUMX,-.05,Communication
2008-07-15,2008 OCT,WUNC,-.04,RecreationCulture
2008-08-15,2008 OCT,WUND,.16,Education
2008-09-15,2008 OCT,WUNE,.58,RestaurantsHotels
2008-10-15,2008 OCT,WUNG,.3,Misc
2008-11-15,2008 SEP,WUMA,1.19,Food
2008-12-15,2008 SEP,WUMB,.18,AlcoholTobacco
2008-01-15,2008 SEP,WUMC,-.4,ClothingFootwear
2008-02-15,2008 SEP,WUMD,1.71,HousingHouseService
2008-03-15,2008 SEP,WUMP,.21,FurnitureHousehold
2008-04-15,2008 SEP,WUMQ,.07,Health
2008-05-15,2008 SEP,WUMW,1.15,Transport
2008-06-15,2008 SEP,WUMX,-.06,Communication
2008-07-15,2008 SEP,WUNC,.03,RecreationCulture
2008-08-15,2008 SEP,WUND,.2,Education
2008-09-15,2008 SEP,WUNE,.59,RestaurantsHotels
2008-10-15,2008 SEP,WUNG,.34,Misc
2009-11-15,2009 APR,WUMA,.9399999999999999,Food
2009-12-15,2009 APR,WUMB,.13,AlcoholTobacco
2009-01-15,2009 APR,WUMC,-.52,ClothingFootwear
2009-02-15,2009 APR,WUMD,.73,HousingHouseService
2009-03-15,2009 APR,WUMP,.24,FurnitureHousehold
2009-04-15,2009 APR,WUMQ,.06,Health
2009-05-15,2009 APR,WUMW,-.13,Transport
2009-06-15,2009 APR,WUMX,.03,Communication
2009-07-15,2009 APR,WUNC,.08,RecreationCulture
2009-08-15,2009 APR,WUND,.16,Education
2009-09-15,2009 APR,WUNE,.33,RestaurantsHotels
2009-10-15,2009 APR,WUNG,.24,Misc
2009-11-15,2009 AUG,WUMA,.25,Food
2009-12-15,2009 AUG,WUMB,.18,AlcoholTobacco
2009-01-15,2009 AUG,WUMC,-.48,ClothingFootwear
2009-02-15,2009 AUG,WUMD,.39,HousingHouseService
2009-03-15,2009 AUG,WUMP,.2,FurnitureHousehold
2009-04-15,2009 AUG,WUMQ,.06,Health
2009-05-15,2009 AUG,WUMW,.09,Transport
2009-06-15,2009 AUG,WUMX,.03,Communication
2009-07-15,2009 AUG,WUNC,.26,RecreationCulture
2009-08-15,2009 AUG,WUND,.16,Education
2009-09-15,2009 AUG,WUNE,.26,RestaurantsHotels
2009-10-15,2009 AUG,WUNG,.2,Misc
2009-11-15,2009 DEC,WUMA,.19,Food
2009-12-15,2009 DEC,WUMB,.19,AlcoholTobacco
2009-01-15,2009 DEC,WUMC,-.2,ClothingFootwear
2009-02-15,2009 DEC,WUMD,-.1,HousingHouseService
2009-03-15,2009 DEC,WUMP,.37,FurnitureHousehold
2009-04-15,2009 DEC,WUMQ,.07,Health
2009-05-15,2009 DEC,WUMW,1.34,Transport
2009-06-15,2009 DEC,WUMX,.09,Communication
2009-07-15,2009 DEC,WUNC,.43,RecreationCulture
2009-08-15,2009 DEC,WUND,.11,Education
2009-09-15,2009 DEC,WUNE,.23,RestaurantsHotels
2009-10-15,2009 DEC,WUNG,.18,Misc
2009-11-15,2009 FEB,WUMA,1.25,Food
2009-12-15,2009 FEB,WUMB,.24,AlcoholTobacco
2009-01-15,2009 FEB,WUMC,-.58,ClothingFootwear
2009-02-15,2009 FEB,WUMD,1.18,HousingHouseService
2009-03-15,2009 FEB,WUMP,.22,FurnitureHousehold
2009-04-15,2009 FEB,WUMQ,.05,Health
2009-05-15,2009 FEB,WUMW,-.22,Transport
2009-06-15,2009 FEB,WUMX,-.01,Communication
2009-07-15,2009 FEB,WUNC,.05,RecreationCulture
2009-08-15,2009 FEB,WUND,.16,Education
2009-09-15,2009 FEB,WUNE,.49,RestaurantsHotels
2009-10-15,2009 FEB,WUNG,.32,Misc
2009-11-15,2009 JAN,WUMA,1.11,Food
2009-12-15,2009 JAN,WUMB,.23,AlcoholTobacco
2009-01-15,2009 JAN,WUMC,-.63,ClothingFootwear
2009-02-15,2009 JAN,WUMD,1.57,HousingHouseService
2009-03-15,2009 JAN,WUMP,.15,FurnitureHousehold
2009-04-15,2009 JAN,WUMQ,.05,Health
2009-05-15,2009 JAN,WUMW,-.3,Transport
2009-06-15,2009 JAN,WUMX,-.05,Communication
2009-07-15,2009 JAN,WUNC,-.08,RecreationCulture
2009-08-15,2009 JAN,WUND,.16,Education
2009-09-15,2009 JAN,WUNE,.5,RestaurantsHotels
2009-10-15,2009 JAN,WUNG,.3,Misc
2009-11-15,2009 JUL,WUMA,.46,Food
2009-12-15,2009 JUL,WUMB,.18,AlcoholTobacco
2009-01-15,2009 JUL,WUMC,-.48,ClothingFootwear
2009-02-15,2009 JUL,WUMD,.62,HousingHouseService
2009-03-15,2009 JUL,WUMP,.16,FurnitureHousehold
2009-04-15,2009 JUL,WUMQ,.06,Health
2009-05-15,2009 JUL,WUMW,-.18,Transport
2009-06-15,2009 JUL,WUMX,.04,Communication
2009-07-15,2009 JUL,WUNC,.29,RecreationCulture
2009-08-15,2009 JUL,WUND,.16,Education
2009-09-15,2009 JUL,WUNE,.26,RestaurantsHotels
2009-10-15,2009 JUL,WUNG,.2,Misc
2009-11-15,2009 JUN,WUMA,.6,Food
2009-12-15,2009 JUN,WUMB,.15,AlcoholTobacco
2009-01-15,2009 JUN,WUMC,-.49,ClothingFootwear
2009-02-15,2009 JUN,WUMD,.65,HousingHouseService
2009-03-15,2009 JUN,WUMP,.13,FurnitureHousehold
2009-04-15,2009 JUN,WUMQ,.06,Health
2009-05-15,2009 JUN,WUMW,-.17,Transport
2009-06-15,2009 JUN,WUMX,.02,Communication
2009-07-15,2009 JUN,WUNC,.17,RecreationCulture
2009-08-15,2009 JUN,WUND,.16,Education
2009-09-15,2009 JUN,WUNE,.31,RestaurantsHotels
2009-10-15,2009 JUN,WUNG,.2,Misc
2009-11-15,2009 MAR,WUMA,1.14,Food
2009-12-15,2009 MAR,WUMB,.26,AlcoholTobacco
2009-01-15,2009 MAR,WUMC,-.54,ClothingFootwear
2009-02-15,2009 MAR,WUMD,1.01,HousingHouseService
2009-03-15,2009 MAR,WUMP,.23,FurnitureHousehold
2009-04-15,2009 MAR,WUMQ,.05,Health
2009-05-15,2009 MAR,WUMW,-.31,Transport
2009-06-15,2009 MAR,WUMX,-.02,Communication
2009-07-15,2009 MAR,WUNC,.12,RecreationCulture
2009-08-15,2009 MAR,WUND,.16,Education
2009-09-15,2009 MAR,WUNE,.46,RestaurantsHotels
2009-10-15,2009 MAR,WUNG,.3,Misc
2009-11-15,2009 MAY,WUMA,.86,Food
2009-12-15,2009 MAY,WUMB,.18,AlcoholTobacco
2009-01-15,2009 MAY,WUMC,-.49,ClothingFootwear
2009-02-15,2009 MAY,WUMD,.66,HousingHouseService
2009-03-15,2009 MAY,WUMP,.22,FurnitureHousehold
2009-04-15,2009 MAY,WUMQ,.06,Health
2009-05-15,2009 MAY,WUMW,-.14,Transport
2009-06-15,2009 MAY,WUMX,.03,Communication
2009-07-15,2009 MAY,WUNC,.12,RecreationCulture
2009-08-15,2009 MAY,WUND,.16,Education
2009-09-15,2009 MAY,WUNE,.33,RestaurantsHotels
2009-10-15,2009 MAY,WUNG,.22,Misc
2009-11-15,2009 NOV,WUMA,.15,Food
2009-12-15,2009 NOV,WUMB,.19,AlcoholTobacco
2009-01-15,2009 NOV,WUMC,-.37,ClothingFootwear
2009-02-15,2009 NOV,WUMD,-.15,HousingHouseService
2009-03-15,2009 NOV,WUMP,.24,FurnitureHousehold
2009-04-15,2009 NOV,WUMQ,.06,Health
2009-05-15,2009 NOV,WUMW,1.05,Transport
2009-06-15,2009 NOV,WUMX,.04,Communication
2009-07-15,2009 NOV,WUNC,.29,RecreationCulture
2009-08-15,2009 NOV,WUND,.11,Education
2009-09-15,2009 NOV,WUNE,.2,RestaurantsHotels
2009-10-15,2009 NOV,WUNG,.1,Misc
2009-11-15,2009 OCT,WUMA,.25,Food
2009-12-15,2009 OCT,WUMB,.19,AlcoholTobacco
2009-01-15,2009 OCT,WUMC,-.4,ClothingFootwear
2009-02-15,2009 OCT,WUMD,-.17,HousingHouseService
2009-03-15,2009 OCT,WUMP,.22,FurnitureHousehold
2009-04-15,2009 OCT,WUMQ,.08,Health
2009-05-15,2009 OCT,WUMW,.5600000000000001,Transport
2009-06-15,2009 OCT,WUMX,.06,Communication
2009-07-15,2009 OCT,WUNC,.29,RecreationCulture
2009-08-15,2009 OCT,WUND,.11,Education
2009-09-15,2009 OCT,WUNE,.2,RestaurantsHotels
2009-10-15,2009 OCT,WUNG,.13,Misc
2009-11-15,2009 SEP,WUMA,.17,Food
2009-12-15,2009 SEP,WUMB,.19,AlcoholTobacco
2009-01-15,2009 SEP,WUMC,-.41,ClothingFootwear
2009-02-15,2009 SEP,WUMD,-.14,HousingHouseService
2009-03-15,2009 SEP,WUMP,.2,FurnitureHousehold
2009-04-15,2009 SEP,WUMQ,.07,Health
2009-05-15,2009 SEP,WUMW,.22,Transport
2009-06-15,2009 SEP,WUMX,.03,Communication
2009-07-15,2009 SEP,WUNC,.21,RecreationCulture
2009-08-15,2009 SEP,WUND,.15,Education
2009-09-15,2009 SEP,WUNE,.2,RestaurantsHotels
2009-10-15,2009 SEP,WUNG,.2,Misc
2010-11-15,2010 APR,WUMA,.32,Food
2010-12-15,2010 APR,WUMB,.28,AlcoholTobacco
2010-01-15,2010 APR,WUMC,-.02,ClothingFootwear
2010-02-15,2010 APR,WUMD,.02,HousingHouseService
2010-03-15,2010 APR,WUMP,.18,FurnitureHousehold
2010-04-15,2010 APR,WUMQ,.06,Health
2010-05-15,2010 APR,WUMW,1.69,Transport
2010-06-15,2010 APR,WUMX,.14,Communication
2010-07-15,2010 APR,WUNC,.36,RecreationCulture
2010-08-15,2010 APR,WUND,.11,Education
2010-09-15,2010 APR,WUNE,.37,RestaurantsHotels
2010-10-15,2010 APR,WUNG,.22,Misc
2010-11-15,2010 AUG,WUMA,.45,Food
2010-12-15,2010 AUG,WUMB,.18,AlcoholTobacco
2010-01-15,2010 AUG,WUMC,-.09,ClothingFootwear
2010-02-15,2010 AUG,WUMD,.04,HousingHouseService
2010-03-15,2010 AUG,WUMP,.2,FurnitureHousehold
2010-04-15,2010 AUG,WUMQ,.06,Health
2010-05-15,2010 AUG,WUMW,1.22,Transport
2010-06-15,2010 AUG,WUMX,.14,Communication
2010-07-15,2010 AUG,WUNC,.2,RecreationCulture
2010-08-15,2010 AUG,WUND,.11,Education
2010-09-15,2010 AUG,WUNE,.37,RestaurantsHotels
2010-10-15,2010 AUG,WUNG,.24,Misc
2010-11-15,2010 DEC,WUMA,.66,Food
2010-12-15,2010 DEC,WUMB,.23,AlcoholTobacco
2010-01-15,2010 DEC,WUMC,.11,ClothingFootwear
2010-02-15,2010 DEC,WUMD,.25,HousingHouseService
2010-03-15,2010 DEC,WUMP,.17,FurnitureHousehold
2010-04-15,2010 DEC,WUMQ,.07,Health
2010-05-15,2010 DEC,WUMW,1.07,Transport
2010-06-15,2010 DEC,WUMX,.09,Communication
2010-07-15,2010 DEC,WUNC,.23,RecreationCulture
2010-08-15,2010 DEC,WUND,.1,Education
2010-09-15,2010 DEC,WUNE,.44,RestaurantsHotels
2010-10-15,2010 DEC,WUNG,.28,Misc
2010-11-15,2010 FEB,WUMA,.15,Food
2010-12-15,2010 FEB,WUMB,.18,AlcoholTobacco
2010-01-15,2010 FEB,WUMC,-.18,ClothingFootwear
2010-02-15,2010 FEB,WUMD,-.13,HousingHouseService
2010-03-15,2010 FEB,WUMP,.26,FurnitureHousehold
2010-04-15,2010 FEB,WUMQ,.07,Health
2010-05-15,2010 FEB,WUMW,1.6,Transport
2010-06-15,2010 FEB,WUMX,.11,Communication
2010-07-15,2010 FEB,WUNC,.35,RecreationCulture
2010-08-15,2010 FEB,WUND,.11,Education
2010-09-15,2010 FEB,WUNE,.3,RestaurantsHotels
2010-10-15,2010 FEB,WUNG,.15,Misc
2010-11-15,2010 JAN,WUMA,.22,Food
2010-12-15,2010 JAN,WUMB,.26,AlcoholTobacco
2010-01-15,2010 JAN,WUMC,-.26,ClothingFootwear
2010-02-15,2010 JAN,WUMD,-.04,HousingHouseService
2010-03-15,2010 JAN,WUMP,.35,FurnitureHousehold
2010-04-15,2010 JAN,WUMQ,.08,Health
2010-05-15,2010 JAN,WUMW,1.66,Transport
2010-06-15,2010 JAN,WUMX,.1,Communication
2010-07-15,2010 JAN,WUNC,.52,RecreationCulture
2010-08-15,2010 JAN,WUND,.11,Education
2010-09-15,2010 JAN,WUNE,.28,RestaurantsHotels
2010-10-15,2010 JAN,WUNG,.2,Misc
2010-11-15,2010 JUL,WUMA,.37,Food
2010-12-15,2010 JUL,WUMB,.21,AlcoholTobacco
2010-01-15,2010 JUL,WUMC,-.18,ClothingFootwear
2010-02-15,2010 JUL,WUMD,.05,HousingHouseService
2010-03-15,2010 JUL,WUMP,.23,FurnitureHousehold
2010-04-15,2010 JUL,WUMQ,.06,Health
2010-05-15,2010 JUL,WUMW,1.26,Transport
2010-06-15,2010 JUL,WUMX,.16,Communication
2010-07-15,2010 JUL,WUNC,.2,RecreationCulture
2010-08-15,2010 JUL,WUND,.11,Education
2010-09-15,2010 JUL,WUNE,.38,RestaurantsHotels
2010-10-15,2010 JUL,WUNG,.21,Misc
2010-11-15,2010 JUN,WUMA,.21,Food
2010-12-15,2010 JUN,WUMB,.22,AlcoholTobacco
2010-01-15,2010 JUN,WUMC,-.06,ClothingFootwear
2010-02-15,2010 JUN,WUMD,.06,HousingHouseService
2010-03-15,2010 JUN,WUMP,.17,FurnitureHousehold
2010-04-15,2010 JUN,WUMQ,.06,Health
2010-05-15,2010 JUN,WUMW,1.4,Transport
2010-06-15,2010 JUN,WUMX,.16,Communication
2010-07-15,2010 JUN,WUNC,.27,RecreationCulture
2010-08-15,2010 JUN,WUND,.11,Education
2010-09-15,2010 JUN,WUNE,.36,RestaurantsHotels
2010-10-15,2010 JUN,WUNG,.29,Misc
2010-11-15,2010 MAR,WUMA,.24,Food
2010-12-15,2010 MAR,WUMB,.2,AlcoholTobacco
2010-01-15,2010 MAR,WUMC,-.14,ClothingFootwear
2010-02-15,2010 MAR,WUMD,.01,HousingHouseService
2010-03-15,2010 MAR,WUMP,.22,FurnitureHousehold
