Date,Date2,Reserve balances,Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A,Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8,Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79,Notes,Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A,Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A,Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59,Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ,Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK,Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL,Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM,Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [b]             RPWZO8Q,Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4,Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3,Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted                           RPWB59A,Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted                           RPWZ4TN,Series
03-Apr-19,2019-04-03,482697,0,0,0,74493,0,0,0,12561,0,12394,444997,121250,n/a,n/a,4568,5470,
27-Mar-19,2019-03-27,478655,0,0,0,74326,0,0,0,12086,0,12391,444997,121401,n/a,n/a,4548,4886,
20-Mar-19,2019-03-20,476641,0,0,0,74089,0,0,0,11916,0,12387,444997,121401,n/a,n/a,4545,4886,
13-Mar-19,2019-03-13,473585,0,0,0,74194,0,0,0,11511,0,12383,444997,121401,n/a,n/a,6050,7011,
06-Mar-19,2019-03-06,471255,0,0,0,74190,0,0,0,9631,0,12713,444997,121401,n/a,n/a,6076,6830,
27-Feb-19,2019-02-27,491220,0,0,0,74019,0,0,0,9631,0,12654,444997,121401,n/a,n/a,6021,6767,
20-Feb-19,2019-02-20,491212,0,0,0,73969,0,0,0,9631,0,12640,444997,121422,n/a,n/a,6145,6933,
13-Feb-19,2019-02-13,491320,0,0,0,74021,0,0,0,9631,0,12607,444997,121422,n/a,n/a,6224,6858,
06-Feb-19,2019-02-06,488315,0,0,0,74074,0,0,0,8134,0,12590,444997,121422,n/a,n/a,4610,5279,
30-Jan-19,2019-01-30,488792,0,0,0,74178,0,0,0,8134,0,12553,444997,121422,n/a,n/a,4567,5230,
23-Jan-19,2019-01-23,487910,0,0,0,74178,0,0,0,8134,0,12508,444997,121442,n/a,n/a,4570,5232,
16-Jan-19,2019-01-16,489815,0,0,0,74577,0,0,0,8134,0,12496,566438,n/a,n/a,n/a,4642,5312,
09-Jan-19,2019-01-09,487445,0,0,0,75494,0,0,0,7164,0,12483,566439,n/a,n/a,n/a,4684,4716,
02-Jan-19,2019-01-02,485156,0,0,0,77022,0,0,0,7164,0,12479,566439,n/a,n/a,n/a,4739,4768,
26-Dec-18,2018-12-26,484262,0,0,0,78188,0,0,0,7164,0,12475,566439,n/a,n/a,n/a,4714,4743,
19-Dec-18,2018-12-19,484932,0,0,0,76723,0,0,0,7164,0,12471,566439,n/a,n/a,n/a,4714,4742,
12-Dec-18,2018-12-12,486572,0,0,0,75840,0,0,0,7164,0,12445,566439,n/a,n/a,n/a,4699,4726,
05-Dec-18,2018-12-05,487301,0,0,0,75476,0,0,0,5830,0,12449,566439,n/a,n/a,n/a,4666,4690,
28-Nov-18,2018-11-28,488938,0,0,0,75175,0,0,0,5830,0,12316,566444,n/a,n/a,n/a,4663,4684,
21-Nov-18,2018-11-21,488529,0,0,0,74895,0,0,0,5830,0,12179,566444,n/a,n/a,n/a,4651,4853,
14-Nov-18,2018-11-14,487888,0,0,0,74974,0,0,0,5830,0,12085,566444,n/a,n/a,n/a,4566,4583,
07-Nov-18,2018-11-07,492628,0,0,0,74990,0,0,0,5428,0,11926,571444,n/a,n/a,n/a,4514,4530,
31-Oct-18,2018-10-31,491033,0,0,0,74989,0,0,0,5428,0,11878,571444,n/a,n/a,n/a,4644,4840,
24-Oct-18,2018-10-24,492580,0,0,0,74884,0,0,0,5428,0,11791,571444,n/a,n/a,n/a,4598,4791,
17-Oct-18,2018-10-17,492930,0,0,0,74782,0,0,0,5428,0,11672,571444,n/a,n/a,n/a,4518,4709,
10-Oct-18,2018-10-10,491587,0,0,0,74880,0,0,0,5428,0,11553,571444,n/a,n/a,n/a,4493,4503,
03-Oct-18,2018-10-03,489126,0,0,0,75096,0,0,0,5908,0,11406,571444,n/a,n/a,n/a,4562,4570,
26-Sep-18,2018-09-26,488810,0,0,0,75072,0,0,0,5908,0,11235,571444,n/a,n/a,n/a,4500,4506,
19-Sep-18,2018-09-19,487671,0,0,0,75022,0,0,0,5908,0,11082,571444,n/a,n/a,n/a,4512,4516,
12-Sep-18,2018-09-12,487381,0,0,0,75121,0,0,0,5908,0,10921,571454,n/a,n/a,n/a,4560,4573,
05-Sep-18,2018-09-05,491073,0,0,0,75305,0,0,0,5480,0,10902,571454,n/a,n/a,n/a,4588,4612,
29-Aug-18,2018-08-29,490880,0,0,0,75631,0,0,0,5480,0,10786,571454,n/a,n/a,n/a,4571,4614,
22-Aug-18,2018-08-22,488556,0,0,0,75201,0,0,0,5480,0,10703,571454,n/a,n/a,n/a,4606,4650,
15-Aug-18,2018-08-15,491426,0,0,0,75002,0,0,0,5480,0,10569,571457,n/a,n/a,n/a,4694,4737,
08-Aug-18,2018-08-08,489566,0,0,0,75102,0,0,0,4157,0,10416,571457,n/a,n/a,n/a,4610,4651,
01-Aug-18,2018-08-01,488157,0,0,0,75073,0,0,0,4157,0,10307,571457,n/a,n/a,n/a,4523,4562,
25-Jul-18,2018-07-25,486890,0,0,0,74934,0,0,0,4157,0,10262,571457,n/a,n/a,n/a,4515,4555,
18-Jul-18,2018-07-18,484138,0,0,0,74953,0,0,0,4157,0,10346,571457,n/a,n/a,n/a,4551,4589,
11-Jul-18,2018-07-11,490315,0,0,0,75016,0,0,0,4177,0,10150,571457,n/a,n/a,n/a,4480,4518,
04-Jul-18,2018-07-04,487918,0,0,0,74707,0,0,0,4177,0,9995,571457,n/a,n/a,n/a,4497,4532,
27-Jun-18,2018-06-27,488323,0,0,0,74437,0,0,0,4177,0,9847,571457,n/a,n/a,n/a,4519,4551,
20-Jun-18,2018-06-20,488221,0,0,0,74349,0,0,0,4177,0,9724,571607,n/a,n/a,n/a,4504,4534,
13-Jun-18,2018-06-13,487703,0,0,0,74140,0,0,0,4177,0,9657,571607,n/a,n/a,n/a,4439,4465,
06-Jun-18,2018-06-06,491577,0,0,0,74141,0,0,0,5062,0,9527,571607,n/a,n/a,n/a,4419,4443,
30-May-18,2018-05-30,493354,0,0,0,74492,0,0,0,5062,0,9400,571607,n/a,n/a,n/a,4478,4500,
23-May-18,2018-05-23,488391,0,0,0,74049,0,0,0,5062,0,9397,571607,n/a,n/a,n/a,4444,4466,
16-May-18,2018-05-16,494283,0,0,0,73798,0,0,0,5062,0,9394,571607,n/a,n/a,n/a,4394,4416,
09-May-18,2018-05-09,495869,0,0,0,73934,0,0,0,4287,0,9391,571607,n/a,n/a,n/a,4373,4392,
02-May-18,2018-05-02,495298,0,0,0,73611,0,0,0,4287,0,9383,571607,n/a,n/a,n/a,4359,4375,
25-Apr-18,2018-04-25,496302,0,0,0,73334,0,0,0,4287,0,9380,572007,n/a,n/a,n/a,4255,4269,
18-Apr-18,2018-04-18,496425,0,0,0,73199,0,0,0,4287,0,9376,572007,n/a,n/a,n/a,4175,4186,
11-Apr-18,2018-04-11,491192,0,0,0,73740,0,0,0,4287,0,9373,572012,n/a,n/a,n/a,4186,4193,
04-Apr-18,2018-04-04,483981,0,0,0,74523,0,0,0,4077,0,9365,572012,n/a,n/a,n/a,4223,4227,
28-Mar-18,2018-03-28,481950,0,0,0,73858,0,0,0,4077,0,9362,572012,n/a,n/a,n/a,4220,4223,
21-Mar-18,2018-03-21,478595,0,0,0,73374,0,0,0,4077,0,9359,572012,n/a,n/a,n/a,4222,4223,
14-Mar-18,2018-03-14,474943,0,0,0,73288,0,0,0,4077,0,9356,572012,n/a,n/a,n/a,5702,5707,
07-Mar-18,2018-03-07,473603,0,0,0,73354,0,0,0,4115,0,9352,572012,n/a,n/a,n/a,5720,5732,
28-Feb-18,2018-02-28,492226,0,0,0,73250,0,0,0,4115,0,9841,572012,n/a,n/a,n/a,5765,5316,
21-Feb-18,2018-02-21,480877,0,0,0,73117,0,0,0,4115,0,9876,560417,n/a,n/a,n/a,4263,4287,
14-Feb-18,2018-02-14,478462,0,0,0,73189,0,0,0,4115,0,9840,557402,n/a,n/a,n/a,4266,4288,
07-Feb-18,2018-02-07,473964,0,0,0,73211,0,0,0,4660,0,9878,552966,n/a,n/a,n/a,4291,4316,
31-Jan-18,2018-01-31,472128,0,0,0,73329,0,0,0,4660,0,9863,551864,n/a,n/a,n/a,4191,4214,
24-Jan-18,2018-01-24,471629,0,0,0,73506,0,0,0,4660,0,9890,551009,n/a,n/a,n/a,4190,4214,
17-Jan-18,2018-01-17,469351,0,0,0,73972,0,0,0,4660,0,9939,548276,n/a,n/a,n/a,4309,4333,
10-Jan-18,2018-01-10,467473,0,0,0,74747,0,0,0,4417,0,9912,548066,n/a,n/a,n/a,4407,4430,
03-Jan-18,2018-01-03,465536,0,0,0,76225,0,0,0,4417,0,9944,547944,n/a,n/a,n/a,4415,4438,
